0,1,2,3,4,5,6,7,8,9,10,11
287547.8158191439,-1108696.2752947106,-13364858.352983624,1615865.2567994925,16312421.897130927,-6847497.004224305,-836241.2970610054,-625349.8045004869,-312478.96914986277,-2028129.808509591,-2192557.034007594,16044792.135855101
31902.511330436202,-134000.50626989556,-1524440.954791671,187119.00829485562,1860861.7897057321,-772576.6290454452,-104891.38288113718,-68415.39960108048,-31527.703414356252,-234578.7359074651,-263323.5286863828,1872178.2291414207
292799.35046703997,-913359.5048735781,-14782758.11934518,1720097.7469501137,18046341.069886073,-7920356.596572098,-584139.0648957135,-795324.7826561645,-470686.7158658329,-2130131.579210818,-1940741.9444445395,16216266.459994767
-2276.8040839829864,-523.8993723114385,-23943.18629119259,4674.294332678185,29875.028395742414,-13721.742174109144,-2243.1313111089094,-813.1002863974137,787.9186369983242,-3999.3770240725607,-4411.847040301093,30772.32262612793
-5904.468258127438,1275.9828511385467,-29106.40055956355,7762.554986566901,36693.4358649693,-18546.80103620319,-3009.689282911003,-995.4864187950262,2584.905139293682,-5282.763243915806,-5651.663209348394,38291.154707393405
105796.25428833404,-279442.8566120463,-5577459.288816453,634654.6198783632,6809443.246400018,-3060430.048651819,-149108.00633453115,-321724.8053600916,-203988.40932831488,-779959.6613733817,-630957.7852959938,5798223.593657345
-2947.529000614844,1351.8790603928599,-5147.647731081104,2544.218180440321,6925.144634888422,-4409.216779665602,-849.4804189790947,-36.31599323237736,1299.767935538739,-1162.1065489968173,-1192.0382197712313,7515.614511199551
-3261.041672303035,-286.4293796291107,-28654.389780496367,5968.598241443098,35749.232842293306,-16764.39551378877,-2613.561723351479,-1050.6966851271225,1220.7737480929964,-4858.688555125889,-5340.368160312228,36781.28154713985
354320.17043952254,-1125068.1169620694,-17877687.870186128,2085758.8156232585,21824548.07942803,-9555831.69203657,-729871.1998820812,-954722.9255329566,-559969.221309377,-2583994.242703535,-2380217.3961732127,19716165.3030069
26500.741696439167,-110467.35917813155,-1268953.8928328839,155482.84204083274,1549005.5221014626,-644293.4245680275,-86099.52777960662,-57314.918620901735,-26745.875379851735,-194851.20705449022,-217486.9167407121,1553001.392735459
-8934.12643927933,3036.715486158914,-28731.5385553549,9679.12045976989,36851.99674408007,-20083.676139128398,-3610.2410830945146,-757.2456379104169,4113.492231687665,-5594.557679675482,-5906.466163203819,39275.404983828514
133966.47399435675,401537.781975885,-11341808.760656573,1084811.143889681,13857902.667816026,-7296634.761994901,750406.8259556377,-974609.6553608336,-800022.218928266,-1236390.6793696203,215026.13604116064,7057180.131377974
66200.08715003353,-299751.7382717377,-3492516.1902592317,432320.7397791184,4264308.683237018,-1777650.193398696,-237475.962827797,-157706.97340422092,-70132.33943371291,-537090.1012169949,-598772.6274478567,4275088.637280192
73051.55271610178,-295755.79594288685,-3397270.3393298965,414654.72775816085,4146602.290770464,-1725086.2213845009,-228736.04491075847,-154029.3389701796,-73033.30665957992,-520969.32980587956,-580119.0201764253,4150628.8732211553
-2993.7559185337436,-6186.59833422879,-132453.57591302908,19398.324123438244,162670.41012004076,-72809.73240180363,-7559.240627067582,-6433.947024963021,-849.5007897510458,-20320.652755112682,-20134.29519158402,154252.35861292374
681.9813782765893,-23483.082943176953,-294392.2457614297,39814.18832397047,360797.57420482114,-151382.19563123593,-22644.431769065737,-12291.805981304698,-3202.625236488019,-46116.293415021224,-52444.02686537,368413.62961362785
